page,node_id,path,characters,font_family,font_weight,font_size,color
🔵 UI_Phase 1,I2849:4337;2445:2808;2445:2775,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,SDK,Bai Jamjuree,600,16.0,#131927
🔵 UI_Phase 1,I2849:4337;2445:2811;2445:2775,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,Demo,Bai Jamjuree,600,16.0,#131927
🔵 UI_Phase 1,I2849:4337;2445:2814;2445:2775,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,Liên hệ,Bai Jamjuree,600,16.0,#131927
🔵 UI_Phase 1,I2849:4337;2531:6542;2531:6497,Contact/Contact/Frame 2147224759/Frame 2147224758/Button of Nav Heading/Button,Demo,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2849:4337;3139:11700;3139:11623;107:1496,Contact/Contact/Frame 2147224759/Frame 2147224758/List (Left Item)/Left Content/Avatar/A,V,Bai Jamjuree,600,16.0,#FFFFFF
🔵 UI_Phase 1,I2849:4337;3139:11700;3139:11619,Contact/Contact/Frame 2147224759/Frame 2147224758/List (Left Item)/Left Content/Title,Ngôn ngữ,Inter,600,14.0,#131927
🔵 UI_Phase 1,I2849:4339;2448:7970,Contact/Contact/Container/Heading Display/Sample text,LIÊN HỆ & HỖ TRỢ,Bai Jamjuree,600,48.0,#FFFFFF
🔵 UI_Phase 1,2849:4342,Contact/Contact/Section 1/Company Name,Công ty TNHH Một thành viên Công nghệ và Thương mại Wiinvent,Bai Jamjuree,600,32.0,#153C88
🔵 UI_Phase 1,2849:4345,Contact/Contact/Section 1/Frame 2147224779/Contact/Immediate Contact,Liên hệ ngay,Bai Jamjuree,600,32.0,#17A5FE
🔵 UI_Phase 1,I3139:5658;64:1260,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Họ & tên,Inter,500,16.0,#131927
🔵 UI_Phase 1,I3139:5658;2448:6770,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I3139:5658;64:1264,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập họ & tên của bạn,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I3139:5658;64:1267,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I3139:5659;64:1260,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Số điện thoại,Inter,500,16.0,#131927
🔵 UI_Phase 1,I3139:5659;2448:6770,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I3139:5659;64:1264,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập số điện thoại của bạn,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I3139:5659;64:1267,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I3139:5660;64:1260,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Email công ty,Inter,500,16.0,#131927
🔵 UI_Phase 1,I3139:5660;2448:6770,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I3139:5660;64:1264,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập số điện thoại của bạn,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I3139:5660;64:1267,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I3139:5661;64:1260,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Tên doanh nghiệp,Inter,500,16.0,#131927
🔵 UI_Phase 1,I3139:5661;2448:6770,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I3139:5661;64:1264,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập tên doanh nghiệp,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I3139:5661;64:1267,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I3139:5662;64:1260,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Website doanh nghiệp,Inter,500,16.0,#131927
🔵 UI_Phase 1,I3139:5662;2448:6770,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/*,*,Inter,500,16.0,#EE443F
🔵 UI_Phase 1,I3139:5662;64:1264,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Input/Left Content/Placeholder,Nhập website của bạn,Inter,400,16.0,#9EA2AE
🔵 UI_Phase 1,I3139:5662;64:1267,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Helper Text/Helper Text,Helper Text,Inter,400,14.0,#9EA2AE
🔵 UI_Phase 1,I3139:5663;64:1260,Contact/Contact/Section 1/Frame 2147224779/Contact/Form Fields Container/Input/Label/Frame 2147224761/Label/Label,Nhu cầu của bạn,Inter,500,16.0,#131927
